path,class_index
Impressionism/pierre-auguste-renoir_woman-with-a-parasol-1872.jpg,6
Impressionism/kimon-loghi_the-tree.jpg,4
Impressionism/camille-pissarro_landscape-louveciennes.jpg,4
Impressionism/winston-churchill_winter-view-of-chartwell.jpg,4
Impressionism/james-ensor_old-lady-with-blue-shawl-the-artist-s-grandmother-1881.jpg,6
Impressionism/willard-metcalf_poppy-garden.jpg,4
Impressionism/pierre-auguste-renoir_camille-monet-and-her-son-jean-in-the-garden-at-argenteuil-1874.jpg,6
Impressionism/camille-pissarro_the-tuilleries-gardens-morning-spring-sun.jpg,1
Impressionism/iosif-iser_parisian-promenade-1930.jpg,1
Impressionism/alfred-sisley_banks-of-the-loing-1896.jpg,4
Impressionism/william-james-glackens_nude-with-apple-1910.jpg,5
Impressionism/mary-cassatt_ellen-with-bows-in-her-hair-looking-right.jpg,6
Impressionism/edgar-degas_after-the-bath-2.jpg,5
Impressionism/john-singer-sargent_cashmere-shawl-1910.jpg,6
Impressionism/claude-monet_cliffs-at-amont.jpg,4
Impressionism/joaquã­n-sorolla_mending-the-sail-1896.jpg,2
Impressionism/francis-picabia_bank-at-poissy.jpg,4
Impressionism/karoly-ferenczy_summertime-picnic-in-may-1906.jpg,4
Impressionism/berthe-morisot_boats-on-the-seine.jpg,1
Impressionism/edgar-degas_dancers-1899.jpg,2
Impressionism/arkhip-kuindzhi_elbrus.jpg,4
Impressionism/lovis-corinth_lake-lucerne-afternoon-1924.jpg,4
Impressionism/james-tissot_older-sister.jpg,6
Impressionism/pieter-wenning_landscape-vanderhovensdrif-apies-river-pretoria.jpg,4
Impressionism/pierre-auguste-renoir_woman-in-a-straw-hat-1918.jpg,6
Impressionism/philip-de-laszlo_lady-frances-gresley-1924.jpg,6
Impressionism/camille-pissarro_the-market-in-gisors-1887.jpg,2
Impressionism/claude-monet_the-seine-at-bougival.jpg,4
Impressionism/pierre-auguste-renoir_girls-picking-flowers-in-a-meadow.jpg,2
Impressionism/claude-monet_still-life-with-pears-and-grapes.jpg,9
Impressionism/alfred-sisley_village-on-the-banks-of-the-seine-1872.jpg,4
Impressionism/max-kurzweil_tip-of-the-bay.jpg,4
Impressionism/giovanni-boldini_arm-with-vase-of-flowers-1910.jpg,2
Impressionism/henri-martin_gondolas-on-the-grand-canal-in-venice.jpg,1
Impressionism/theodor-pallady_juan-les-pins-landscape.jpg,4
Impressionism/pierre-auguste-renoir_portrait-of-a-child-2.jpg,6
Impressionism/alfred-sisley_boats-at-bougival-1873.jpg,4
Impressionism/alfred-sisley_construction-site-at-saint-mammes-1880.jpg,1
Impressionism/vasile-popescu_marquee-house-painter-s-wife-s-home-1934.jpg,1
Impressionism/camille-pissarro_steamboats-in-the-port-of-rouen-1896.jpg,1
Impressionism/claude-monet_regatta-at-argenteuil-1.jpg,4
Impressionism/john-henry-twachtman_winter-landscape-cincinnati.jpg,4
Impressionism/t.-c.-steele_tennessee-scene-1899.jpg,4
Impressionism/gerard-sekoto_portrait-of-manuels-cousin-1944.jpg,6
Impressionism/antoine-blanchard_grands-boulevards-1.jpg,1
Impressionism/eugene-boudin_berck-the-beach-at-low-tide-1882.jpg,4
Impressionism/alfred-sisley_snow-effect-at-veneux.jpg,4
Impressionism/konstantin-korovin_kremlin-view-from-cathedral-of-christ-the-saviour.jpg,1
Impressionism/joaquã­n-sorolla_boat-in-albufera-1908.jpg,4
Impressionism/joaquã­n-sorolla_raimundo-de-madrazo-in-his-paris-garden-1906.jpg,6
Impressionism/berthe-morisot_thatched-cottage-in-normandy.jpg,4
Impressionism/edgar-degas_seated-dancer-1.jpg,2
Impressionism/pierre-auguste-renoir_wilhelm-muhlfeld-1910.jpg,6
Impressionism/nicolae-grigorescu_on-a-peak.jpg,2
Impressionism/john-henry-twachtman_fountain-world-s-fair.jpg,4
Impressionism/joaquã­n-sorolla_portrait-of-lawyer-don-silverio-de-la-torre-y-eguia-1893.jpg,6
Impressionism/pierre-auguste-renoir_landscape-8.jpg,4
Impressionism/istvan-nagy_backyard-1911.jpg,4
Impressionism/childe-hassam_avenue-of-the-allies.jpg,1
Impressionism/julian-alden-weir_the-lace-maker-1915.jpg,2
Impressionism/paul-gauguin_mandolina-and-flowers-1883.jpg,9
Impressionism/claude-monet_rio-della-salute-03.jpg,1
Impressionism/eugene-boudin_the-beach-at-trouville-1.jpg,2
Impressionism/childe-hassam_the-victorian-chair.jpg,6
Impressionism/winston-churchill_ightham-moat(1).jpg,4
Impressionism/pierre-auguste-renoir_landscape-1881.jpg,4
Impressionism/camille-pissarro_the-inner-harbor-dpeppe-high-tide-morning-grey-weather-1902.jpg,1
Impressionism/william-james-glackens_parade-1912.jpg,2
Impressionism/paul-gauguin_skaters-in-fredericksberg-park-1884.jpg,1
Impressionism/claude-monet_pathway-in-monet-s-garden-at-giverny-1902.jpg,4
Impressionism/edgar-degas_two-dancers-in-the-studio-dance-school.jpg,2
Impressionism/claude-monet_tree-in-flower-near-vetheuil.jpg,4
Impressionism/octav-angheluta_ivan-lipoveanul-1969.jpg,6
Impressionism/eugene-boudin_the-beach-berck-1882.jpg,4
Impressionism/gustave-caillebotte_calf-in-a-butcher-shop.jpg,9
Impressionism/antoine-blanchard_place-de-la-concorde-4.jpg,1
Impressionism/pierre-auguste-renoir_young-girl-with-a-basket-of-flowers-1888.jpg,6
Impressionism/arkhip-kuindzhi_after-a-rain.jpg,4
Impressionism/gustave-caillebotte_landscape-study-in-yellow-and-rose.jpg,4
Impressionism/nikolay-bogdanov-belsky_melted-water.jpg,4
Impressionism/claude-monet_small-boat-on-the-small-branch-of-the-seine-at-argenteuil.jpg,4
Impressionism/claude-monet_the-seine-at-port-villez-1883.jpg,4
Impressionism/pierre-auguste-renoir_portrait-of-a-woman-mme-georges-hartmann-1874.jpg,6
Impressionism/alfred-sisley_the-path-from-saint-mammes-morning-1890.jpg,4
Impressionism/nicolae-vermont_marine-landscape-of-constanta-port.jpg,2
Impressionism/pierre-auguste-renoir_cabin-with-aloe-plants.jpg,4
Impressionism/john-singer-sargent_the-chess-game.jpg,2
Impressionism/georges-seurat_corner-of-a-house-1884.jpg,4
Impressionism/john-atkinson-grimshaw_gourock-near-the-clyde-shipping-docks.jpg,1
Impressionism/paul-cezanne_portrait-of-the-artist-s-son-1878.jpg,6
